text,label
Product formulas shall allow use of semi-products  which have own formulas.,0
"A gamer spends \$26,500 on a virtual island that exists only in a PC role-playing game.",0
"BATON ROUGE, La. A top LSU official says the school will do what it can to keep football coach Nick Saban from leaving for the Miami Dolphins.",0
The product shall be able to delete room equipment.,0
"Even as African Americans and other minorities have made economic progress in the last 40 years, many of those reaching the middle-income rung are finding it a hollow promise.",0
"Jet Propulsion Lab -- Thirty days before its historic return to Earth with NASA's first samples from space since the Apollo missions, the Genesis spacecraft successfully completed its twentieth trajectory maneuver.     At 12:00 Universal Time (5:00 a.m...",0
"Reuters - The Toronto\Raptors have traded All-Star swingman Vince Carter to the New\Jersey Nets in exchange for center Alonzo Mourning, forward\Eric Williams, center/forward Aaron Williams and two first-\round draft picks.",0
"Music fans have purchased and downloaded more than 200 million songs from the iTunes Music Store. The 200 millionth song, part of  #147;The Complete U2, #148; was purchased by Ryan Alekman from Belchertown, MA. iTunes has made it easy to give the gift of music this holiday season with \$15 and \$25 iTunes prepaid cards available from retailers including Amazon.com, Best Buy, Circuit City, CompUSA, Kroger, RadioShack, 7-Eleven, Target, as well as the Apple online store and Apple retail stores. Dec 16",0
"TOKYO -- NTT DoCoMo, Japan's biggest mobile communications carrier, achieved a 1Gbpspacket transmission speed using fourth-generation (4G) mobile communication equipment on Aug. 20, the company said Friday.",0
 NEW YORK (Sports Network) - The New York Mets on Friday  claimed outfielder Ron Calloway off waivers from the Washington  Nationals.,0
Microsoft solicits PeopleSoft customers with offers of cheaper and better technology just days after Oracle purchases the company.,0
"Many people don #39;t pay all that much attention to their e-mail software. After all, it takes a real geek to care about the fine points of one program or another, especially when they all do more or less the same thing.",0
SPACE.com - A piloted rocket ship race to claim a  #36;10 million Ansari X Prize purse for privately financed flight to the edge of space is heating up.,0
If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,0
"Reuters - NASA's departing chief, Sean\O'Keefe, on Friday defended his decision to pursue a robotic\repair mission to the Hubble Space Telescope, days after a\panel of scientists said a shuttle mission would be better.",0
"Italian dairy giant Parmalat SPA owes nearly \$26 billion to creditors including many big international banks, a judge ruled Friday in a decision that will affect who will become a shareholder in the reorganized company.",0
"HAMISH ROBERTSON: But first to Moscow where the future of Russia #39;s largest oil company, Yukos, isn #39;t looking too bright this weekend.",0
It looks like NASA Administrator Sean O #39;Keefe will return to his home state of Louisiana to become the next chancellor at LSU.,0
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,0
"Vince Carter had everything a basketball player could want: A fat contract, highlight-reel talent and an entire nation that had anointed him as its favorite athlete not on ice skates.",0
" BOGOTA, Colombia (Reuters) - Colombia said on Friday that a  top Marxist guerrilla leader may avoid extradition to the  United States if his rebel group frees 63 hostages, including  three Americans and one German.",0
"The Atlanta Falcons and Indianapolis Colts will begin the preseason Aug. 6 in the American Bowl in Tokyo, the record 12th time an NFL game will be played in the city.",0
"AP - Tim Duncan had 19 points and 12 rebounds to lead the San Antonio Spurs to their third straight victory, 83-69 over the New Orleans Hornets on Friday night.",0
"NASA will extend operation of the Tropical Rainfall\Measuring Mission (TRMM) through the end of 2004, in light of a\recent request from the National Oceanic and Atmospheric\Administration (NOAA).",0
THE WORLD does not need cellphones in the sky. They #39;re causing enough trouble on the ground. Here #39;s hoping the Federal Communications Commission gets a load of mail nixing its proposal to lift the current ,0
Major cell phone infrastructure provider plans to use HP's telecom software in 3G mobile network gear.,0
"Writing in the British Medical Journal, Dr Francisco Belda Maruenda says the human eye is unable to detect an offside position during a match.",0
"BLOOMINGTON, Ind. - Ben Roethlisbergers college coach is moving on to the Big Ten Conference. Terry Hoeppner, who spent the last 19 years at Miami (Ohio), was named as the new football coach at Indiana on Friday.",0
" SEATTLE (Reuters) - Google Inc. &lt;GOOG.O&gt; on Monday again  boosted the number of shares it plans to sell in its initial  public offering, saying it will issue 2.7 million shares to  Yahoo Inc. &lt;YHOO.O&gt; to settle a lawsuit over technology used to  display ads.",0
The system shall offer a display of all the Events in the exercise.,0
"Reuters - India's two state-run telephone companies will start high-speed Internet services from Jan. 15 at about a sixth of the prevailing prices, a government statement said on Friday.",0
"CAPE CANAVERAL, FLA. - NASA #39;s departing chief says he stands by his decision to cancel a shuttle mission to repair the Hubble Space Telescope.",0
InterContinental Hotels Group passed another milestone in its wide-ranging asset disposal programme yesterday when it sold 13 of its North American properties for \$425m (220m).,0
"AP - New Mississippi coach Ed Orgeron was charged with repeated domestic violence more than a decade ago when he was an assistant at Miami, according to records obtained Friday by The Associated Press.",0
"Google Inc. is opening the auction for its much-anticipated initial public offering (IPO) on Friday, with plans to announce the pricing of its stock next week.",0
Cuba puts up photos of abused Iraqi prisoners in front of the US mission in a row over a US Christmas display.,0
"\\""(CNN) -- A longtime associate of al Qaeda leader Osama bin Laden surrendered to\Saudi Arabian officials Tuesday, a Saudi Interior Ministry official said.""\\""But it is unclear what role, if any, Khaled al-Harbi may have had in any terror\attacks because no public charges have been filed against him.""\\""The Saudi government -- in a statement released by its embassy in Washington --\called al-Harbi's surrender ""the latest direct result"" of its limited, one-month\offer of leniency to terror suspects.""\\This is great!  I hope this really starts to pay off.  Creative solutions to\terrorism that don't involve violence.  \\How refreshing! \\Are you paying attention Bush administration?\\",0
"Siebel Systems has agreed to acquire edocs, a maker of e-billing and customer self-service applications, for \$115 million, Siebel said Friday.",0
"Chelsea, whose coach, Jos Mourinho, led Porto to the Champions League title in May, was drawn on Friday to meet Barcelona in the final 16 of the current competition.",0
Electronics giant develops new television technology to attack core business from a new angle.,0
That's the research firm's verdict on Microsoft's stripped-down Starter Edition for developing countries.,0
" JERUSALEM (Reuters) - Israel's opposition Labour party is  likely to join Prime Minister Ariel Sharon's coalition next  week, a move that could promote a Gaza pullout plan and also  avoid early elections, his spokesman said on Friday.",0
 &lt;em&gt;  Guests to be interviewed today on major television talk shows:&lt;/em&gt;,0
AP - Hurricane Charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity  #151; even with all the latest satellite and radar technology.,0
If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,0
Canadian Press - EDMONTON (CP) - A 14-year-old boy with fetal alcohol syndrome who disappeared when he was allowed to go unsupervised to West Edmonton Mall was found Friday.,0
"Hewlett-Packard has decided to end their efforts on active development of the Itanium chip, which is in the making for a decade now.",0
A protein which helps increase lifespan in worms offers hope for new Parkinson's and Alzheimer's treatments.,0
The Dolphins will put their courtship of LSU coach Nick Saban on hold to comply with the NFL's hiring policy by interviewing a minority candidate.,0
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,0
For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,0
"Free-agent reliever Antonio Alfonseca signed a one-year contract Friday to rejoin his former team, the Florida Marlins.",0
"MELBOURNE, Australia -- If former Australian Davis Cup player Scott Draper has an early exit from next month #39;s Australian Open tennis championships, he can always put away his racket and pull out the golf clubs.",0
US music firms take legal action against 754 computer users alleged to illegally swap music online.,0
"The tiniest blood vessels of the eye can provide a glimpse that may warn of future high blood pressure, Australian researchers report. That finding comes from a computerized analysis of special camera images of the retina, an experimental technique.",0
"AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day.",0
" TEMPE, Ariz. (Sports Network) - Alex Smith threw for 328  yards and four touchdowns to lead fifth-ranked Utah to a  convincing 35-7 rout of 19th-ranked Pittsburgh in the Fiesta  Bowl at Sun Devil Stadium.",0
"Using advanced ""nanopatterning"" techniques, IBM researchers plan to build 100TB tape storage devices.",0
Afghan troops stormed a notorious prison Friday in an assault aimed at ending a standoff sparked by a bloody escape attempt by four ,0
"Online shoppers intent on skipping long lines and clogged parking lots at the mall are discovering a different kind of traffic problem this holiday season: overcrowded Web sites that are cracking under the pressure.  &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;",0
"AP - The Miami Dolphins' coaching search will include more than one candidate, even though LSU's Nick Saban remains the front-runner.",0
The audit report shall include the total score of the audit which sums the indivual line items.,0
The system shall allow a user to define the time segments,0
"Rams quarterback Marc Bulger still has soreness in his sprained right shoulder, making it unlikely that he will play Sunday against Arizona.",0
 NEW YORK (Reuters) - U.S. stocks fell on Friday hurt by a  string of negative reports from top drug makers and as oil  prices climbed nearly \$2 a barrel.,0
"Attackers could bombard PCs using instant messenger's ""away"" feature. AOL says a fix is imminent.",0
AP - A U.S. soldier was killed during fighting in western Afghanistan that also left an Afghan dead on Sunday.,0
"LOS ANGELES UCLA football coach Karl Dorrell has been given a two-year extension, putting him under contract with the Bruins through the 2010 season.",0
"Detaining foreign terrorist suspects without trial breaks human rights laws, the UKs highest court ruled on Thursday. In a blow to the governments anti-terror measures, the House of Lords ruled by an ",0
"'Tis the season for mergers, as technology firms go on a buying binge this holiday season that is starting to rival the great M A spree of the 1990s. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",0
The European Union (EU) and Turkeyreached an agreement on Friday to start talks next year on the country #39;s membership of the bloc.,0
"Englewood, CO (Sports Network) - Veteran defensive tackle Luther Elliss of the Denver Broncos will miss the remainder of the season because of a herniated disk in his lower back.",0
"In the year that ended June 30, 2004, Massachusetts was the only state in the country that lost population -- 3,852 people to be exact. So here is my question: Are we Sweden or North Dakota?",0
Bangladesh fast bowler Mashrafe bin Mortaza was understandably elated after dismissing Sachin Tendulkar with the first ball of the day in Chittagong.,0
The product shall display room equipment according to search parameters.,0
Website shall allow the Izogn administrator to approve a review posted by a customer.,0
Microsoft has quietly released an update to Windows XP to fix a potentially serious configuration problem in the firewall that ships as part of Windows XP Service Pack 2. Users who installed SP2 on their Windows ,0
"Says certain documents, which Oracle and others want to keep from eyes of rivals, may be necessary to decide case.",0
"Japan #39;s central bank offered a bleaker assessment of the country #39;s economy Friday for the first time in more than a year and a half, citing weaker industrial production and slowing export growth.",0
"American courts came into direct conflict with Russia yesterday, after Russia insisted it would push on with plans to sell off the main chunk of stricken oil giant Yukos ",0
LeapFrog sticks to its quarterly ritual of raining on the toy-making parade.,0
When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,0
"Queue submissions being scarce, I suggest we all submit limericks for consideration.  Mod up your favorites.    I'm no poet, so I'll submit a favorite of my childhood:    There was a young woman named Bright,  Who traveled much faster than light    She set out one day  In a relative way    And returned on the previous night.    I'm afraid I don't remember the author.",0
" GAZA (Reuters) - Israeli tanks and troops raided southern  Gaza on Friday in response to increasing Palestinian mortar  attacks, killing at least six Palestinians and prompting  hundreds to flee their homes, witnesses and medics said.",0
"(Article Central) Software giant Microsoft Corp. introduced a beta version of its new MSN Toolbar Suite, with new desktop search functionality that allows users to find almost any type of document, media file ",0
"Miami of Ohio football coach Terry Hoeppner will be named the next football coach at Indiana University, sources confirmed early today.",0
"The voice-over-IP market is growing, and by next year, 50 of all lines installed in the U.S. are expected to rely on VoIP technology -- despite continuing concerns that installations can be costly.",0
The product will update existing room equipment.,0
